EAGLE_lod_id,EAGLE_prefLabel,XML_term_key_0,XML_term_text_0,n
92, Sepulcralis ,funerary,funerary,1709
NA,NA,,,564
88, tit. dedicatorius ,dedication,dedication,213
69, Honorific inscription ,honorific,honorific,191
NA,NA,,(?),182
92, Sepulcralis ,funerary,funerary (?),85
86, Bauinschrift ,building,building,64
69, Honorific inscription ,honorific,honorific (?),33
111,NA,seat inscription,"seat
                        inscription",22
88, tit. dedicatorius ,dedication,dedication (?),17
NA,NA,unknown,unknown,17
410,NA,accounts,accounts,15
86, Bauinschrift ,building,building (?),13
96, term. non sep. ,terminus,terminus,13
85, Gebet ,prayer,prayer,10
108, Verzeichnis ,list,list,8
384,NA,decree,decree,7
NA,NA,ignoratur,Unknown,7
88, tit. dedicatorius ,dedication,"dedication; list of
                        magistrates",6
92, Sepulcralis ,funerary,funerary; honorific,6
370,NA,graffiti,graffiti,6
86, Bauinschrift ,building,"building; honorific
                        (?)",5
69, Honorific inscription ,honorific,honorific; building,4
32, Liste de magistrats ,list of magistrates,"list of
                        magistrates",3
32, Liste de magistrats ,list of magistrates,list of magistrates,3
48,NA,cadastral,cadastral,3
69, Honorific inscription ,honorific,"honorific; building
                        (?)",3
83, Dédicace votive ,votive,votive (?),3
368,NA,epigram,epigram,3
384,NA,decree,decree (?),3
386,NA,greeting,greeting,3
NA,NA,milestone,milestone,3
69, Honorific inscription ,honorific,Honorific,2
69, Honorific inscription ,honorific,"honorific;
                        building (?)",2
69, Honorific inscription ,honorific,"honorific; dedication
                        (?)",2
69, Honorific inscription ,honorific,honorific; funerary,2
69, Honorific inscription ,honorific,"honorific; funerary
                        (?)",2
83, Dédicace votive ,votive,votive,2
86, Bauinschrift ,building,building; honorific,2
88, tit. dedicatorius ,dedication,"dedication; building
                        (?)",2
88, tit. dedicatorius ,dedication,"dedication; funerary
                        (?)",2
92, Sepulcralis ,funerary,"funerary;
                        honorific",2
96, term. non sep. ,terminus,terminus (?),2
105, tit. in artis operib. inscr. ,signature,signature,2
143,NA,unknown,unknown,2
429,NA,oracle,oracle,2
NA,NA,,uncertain,2
NA,NA,stamp,stamp,2
3, Kalender ,calendar,calendar,1
3, Kalender ,calendar,calendar (?),1
3, Kalender ,calendar,"calendar; list
                        of magistrates",1
10, Loi sacrée ,lex sacra,lex sacra,1
32, Liste de magistrats ,list of magistrates,"list of
                        magistrates (?)",1
33, Liste de prêtres ,list of priests,"list of
                        priests",1
33, Liste de prêtres ,list of priests,"list of priests
                        (?)",1
63,NA,testament,testament,1
69, Honorific inscription ,honorific,Honorific (?),1
69, Honorific inscription ,honorific,honorific(?),1
69, Honorific inscription ,honorific,"honorific;
                        dedication",1
69, Honorific inscription ,honorific,honorific; building (?),1
69, Honorific inscription ,honorific,honorific; decree,1
69, Honorific inscription ,honorific,"honorific; decree
                        (?)",1
69, Honorific inscription ,honorific,"honorific; signature
                        (?)",1
86, Bauinschrift ,building,building; dedication,1
86, Bauinschrift ,building,"building; dedication
                        (?)",1
86, Bauinschrift ,building,building; honorific (?),1
88, tit. dedicatorius ,dedication,"dedication
                        (?)",1
88, tit. dedicatorius ,dedication,"dedication;
                        building",1
88, tit. dedicatorius ,dedication,"dedication;
                        funerary",1
88, tit. dedicatorius ,dedication,"dedication;
                        honorific",1
88, tit. dedicatorius ,dedication,"dedication;
                        honorific (?)",1
92, Sepulcralis ,funerary,"funerary; building
                        (?)",1
92, Sepulcralis ,funerary,funerary; dedication,1
92, Sepulcralis ,funerary,"funerary; honorific
                        (?)",1
92, Sepulcralis ,funerary,funerary; magical,1
92, Sepulcralis ,funerary,funerary; prayer,1
92, Sepulcralis ,funerary,funerary; votive (?),1
105, tit. in artis operib. inscr. ,ownership,ownership,1
123,NA,weight,weight,1
128,NA,advertisement,advertisement,1
136,NA,instrumentum,instrumentum,1
139,NA,painted text,painted text,1
140,NA,monogram,monogram,1
390,NA,quarry mark,quarry mark,1
402,NA,letter,letter,1
NA,NA,,Honorific,1
NA,NA,construction,"Construction text
                        (probatio)",1
NA,NA,honorary inscription,honorific; building?,1
NA,NA,ignoratur,uncertain,1
NA,NA,legal text,legal text,1
NA,NA,scalpro,Engraved,1
NA,NA,touristic text,touristic text,1
NA,NA,uncertain,(?),1
NA,NA,unknown,Unknown,1
NA,NA,unknown,Unknown (honorific or dedication?),1
