 "concept" , "prefLabel" , "altLabel" , "related" ,
 "https://www.eagle-network.eu/voc/writing/lod/13" , "Signaculo" , "impressa" , "https://www.eagle-network.eu/voc/writing/lod/166" ,
 "https://www.eagle-network.eu/voc/writing/lod/13" , "Signaculo" , "timbré, cacheté" , "https://www.eagle-network.eu/voc/writing/lod/166" ,
 "https://www.eagle-network.eu/voc/writing/lod/13" , "Signaculo" , "αποτυπωμένο, σταμπωτό" , "https://www.eagle-network.eu/voc/writing/lod/166" ,
 "https://www.eagle-network.eu/voc/writing/lod/13" , "Signaculo" , مختوم , "https://www.eagle-network.eu/voc/writing/lod/166" ,
 "https://www.eagle-network.eu/voc/decor/lod/6" , "cross" , "kereszt" , "https://www.eagle-network.eu/voc/decor/lod/3" ,
 "https://www.eagle-network.eu/voc/decor/lod/6" , "cross" , "kereszt" , "https://www.eagle-network.eu/voc/decor/lod/4" ,
 "https://www.eagle-network.eu/voc/decor/lod/6" , "cross" , "kereszt" , "https://www.eagle-network.eu/voc/decor/lod/5" ,
 "https://www.eagle-network.eu/voc/decor/lod/3" , "Crux Decussata" , "András-kereszt" , "https://www.eagle-network.eu/voc/decor/lod/6" ,
 "https://www.eagle-network.eu/voc/decor/lod/902" , "herma" , "busts" , "heads" ,
 "https://www.eagle-network.eu/voc/decor/lod/904" , "femina" , "women" , "men" ,
 "https://www.eagle-network.eu/voc/decor/lod/905" , "vir" , "men" , "women" ,
 "https://www.eagle-network.eu/voc/decor/lod/906" , "caput" , "heads" , "busts" ,
 "https://www.eagle-network.eu/voc/decor/lod/907" , "gladiator" , "gladiators" , "helmets" ,
 "https://www.eagle-network.eu/voc/decor/lod/911" , "venatio" , "hunting" , "dogs" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/221" , "Anthropomorpher Sarkophag" , "antropomorf szarkofág" , "https://www.eagle-network.eu/voc/objtyp/lod/214" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/221" , "Anthropomorpher Sarkophag" , "sarcophagus, humana forma" , "https://www.eagle-network.eu/voc/objtyp/lod/214" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/1843" , "anulus aureus" , "Goldring" , "https://www.eagle-network.eu/voc/objtyp/lod/168" ,
