EAGLE_lod_id,EAGLE_prefLabel,XML_term_text_0,n
92, Sepulcralis ,sepulcralis,66061
106,NA,cetera,7738
79, Sacer ,sacer,6098
143,NA,ignoratur,5852
232,NA,honorarius,5024
263,NA,oper. publ. priv.que,3655
92, Sepulcralis ,sepulcralis?,2515
232,NA,honorarius?,1226
NA,NA,"fasti, leges, acta",948
96, term. non sep. ,term. non sep.,853
92, Sepulcralis ,"sepulcralis, carmen",688
263,NA,oper. publ. priv.que?,643
79, Sacer ,sacer?,479
105, tit. in artis operib. inscr. ,tit. in artis operib. inscr.,445
NA,NA,inscr. parietariae,257
NA,NA,cetera loca,165
NA,NA,"fasti, leges, acta?",83
NA,NA,honorarius aut sepulcralis,40
NA,NA,term. non sep.?,32
106,NA,cetera?,30
NA,NA,tit. in artis operib. inscr.?,30
NA,NA,cetera magica,26
NA,NA,"sepulcralis, carmen?",21
79, Sacer ,"sacer, carmen",18
NA,NA,oper. publ. priv.que sacer,18
106,NA,"cetera, magica",15
263,NA,"oper. publ. priv.que, sacer",15
NA,NA,sepulcralis? honorarius?,13
NA,NA,ignoratur sepulcralis?,11
NA,NA,sepulcralis aut honorarius,11
106,NA,"cetera, loca",10
232,NA,"honorarius, sacer",10
79, Sacer ,"sacer, defixio",9
NA,NA,sepulcralis; carmen,9
NA,NA,honorarius vel sepulcralis,8
NA,NA,ignoratur honorarius?,8
NA,NA,sepulcralis###??,8
143,NA,ignoratur?,7
NA,NA,cetera loca?,7
NA,NA,"cetera, litterarum ordo",7
NA,NA,"cetera, tabula lusoria",7
106,NA,"cetera, donum",6
232,NA,"honorarius, carmen",6
NA,NA,oper. publ. priv.que sepulcralis,6
NA,NA,sacer aut sepulcralis,6
NA,NA,sacer###??,6
NA,NA,sepulcralis aut sacer,6
263,NA,"oper. publ. priv.que, carmen",5
263,NA,"oper. publ. priv.que, honorarius",5
NA,NA,cetera probatio,5
NA,NA,cetera; magica,5
NA,NA,honorarius aut sacer,5
NA,NA,"honorarius?, sepulcralis?",5
NA,NA,"ignoratur, carmen?",5
NA,NA,oper. publ. priv.que honorarius,5
NA,NA,sacer magica,5
NA,NA,sepulcralis carmen,5
106,NA,"cetera, carmen",4
143,NA,"ignoratur, carmen",4
NA,NA,cetera magica?,4
NA,NA,"ignoratur, sepulcralis?",4
NA,NA,oper. publ. priv.que; sacer,4
NA,NA,sacer aut honorarius?,4
NA,NA,sepulcralis? sacer?,4
NA,NA,"sepulcralis?, carmen",4
NA,NA,"sepulcralis?, honorarius?",4
NA,NA,cetera ###magica magica,3
NA,NA,cetera magicus,3
NA,NA,"fasti, leges, acta sacer",3
NA,NA,honorarius sacer,3
NA,NA,honorarius? sepulcralis?,3
NA,NA,ignoratur sacer?,3
NA,NA,oper. publ. priv.que sacer?,3
NA,NA,oper. publ. priv.que vel honorarius,3
NA,NA,oper. publ. priv.que; honorarius,3
NA,NA,oper. publ. priv.que? honorarius?,3
NA,NA,sacer aut honorarius,3
NA,NA,sacer? honorarius?,3
79, Sacer ,"sacer, sepulcralis",2
106,NA,"cetera, immunitas",2
106,NA,"cetera, possessio",2
106,NA,"cetera, probatio",2
232,NA,"honorarius, sepulcralis",2
263,NA,"oper. publ. priv.que, sepulcralis",2
NA,NA,?,2
NA,NA,cetera acclamazione,2
NA,NA,cetera peso,2
NA,NA,"cetera, marchio di cava",2
NA,NA,"cetera, vox magica",2
NA,NA,"fasti, leges, acta sepulcralis",2
NA,NA,honorarius###??,2
NA,NA,"honorarius, sacer?",2
NA,NA,"honorarius, sepulcralis?",2
NA,NA,"honorarius?, carmen",2
NA,NA,nonsense inscr.,2
NA,NA,oper. publ. priv.que aut honorarius?,2
NA,NA,oper. publ. priv.que datazione,2
NA,NA,oper. publ. priv.que sepulcralis?,2
NA,NA,oper. publ. priv.que###??,2
NA,NA,"oper. publ. priv.que, ord. sen.",2
NA,NA,"oper. publ. priv.que, sacer?",2
NA,NA,oper. publ. priv.que? sacer?,2
NA,NA,sacer cetera,2
NA,NA,sacer honorarius,2
NA,NA,sacer oper.publ.,2
NA,NA,"sacer?, carmen",2
