term_text_0,term_ref_0,n
sepulcralis,http://www.eagle-network.eu/voc/typeins/lod/92,66061
cetera,http://www.eagle-network.eu/voc/typeins/lod/106,7738
sacer,http://www.eagle-network.eu/voc/typeins/lod/79,6098
ignoratur,http://www.eagle-network.eu/voc/typeins/lod/143,5852
honorarius,http://www.eagle-network.eu/voc/typeins/lod/232,5024
oper. publ. priv.que,http://www.eagle-network.eu/voc/typeins/lod/263,3655
sepulcralis?,http://www.eagle-network.eu/voc/typeins/lod/92,2515
honorarius?,http://www.eagle-network.eu/voc/typeins/lod/232,1226
"fasti, leges, acta",,948
term. non sep.,http://www.eagle-network.eu/voc/typeins/lod/96,853
"sepulcralis, carmen",http://www.eagle-network.eu/voc/typeins/lod/92,688
oper. publ. priv.que?,http://www.eagle-network.eu/voc/typeins/lod/263,643
sacer?,http://www.eagle-network.eu/voc/typeins/lod/79,479
tit. in artis operib. inscr.,http://www.eagle-network.eu/voc/typeins/lod/105,445
inscr. parietariae,,257
cetera loca,,165
"fasti, leges, acta?",,83
honorarius aut sepulcralis,,40
term. non sep.?,,32
cetera?,http://www.eagle-network.eu/voc/typeins/lod/106,30
tit. in artis operib. inscr.?,,30
cetera magica,,26
"sepulcralis, carmen?",,21
oper. publ. priv.que sacer,,18
"sacer, carmen",http://www.eagle-network.eu/voc/typeins/lod/79,18
"cetera, magica",http://www.eagle-network.eu/voc/typeins/lod/106,15
"oper. publ. priv.que, sacer",http://www.eagle-network.eu/voc/typeins/lod/263,15
sepulcralis? honorarius?,,13
ignoratur sepulcralis?,,11
sepulcralis aut honorarius,,11
"cetera, loca",http://www.eagle-network.eu/voc/typeins/lod/106,10
"honorarius, sacer",http://www.eagle-network.eu/voc/typeins/lod/232,10
"sacer, defixio",http://www.eagle-network.eu/voc/typeins/lod/79,9
sepulcralis; carmen,,9
honorarius vel sepulcralis,,8
ignoratur honorarius?,,8
sepulcralis###??,,8
cetera loca?,,7
"cetera, litterarum ordo",,7
"cetera, tabula lusoria",,7
ignoratur?,http://www.eagle-network.eu/voc/typeins/lod/143,7
"cetera, donum",http://www.eagle-network.eu/voc/typeins/lod/106,6
"honorarius, carmen",http://www.eagle-network.eu/voc/typeins/lod/232,6
oper. publ. priv.que sepulcralis,,6
sacer aut sepulcralis,,6
sacer###??,,6
sepulcralis aut sacer,,6
cetera probatio,,5
cetera; magica,,5
honorarius aut sacer,,5
"honorarius?, sepulcralis?",,5
"ignoratur, carmen?",,5
oper. publ. priv.que honorarius,,5
"oper. publ. priv.que, carmen",http://www.eagle-network.eu/voc/typeins/lod/263,5
"oper. publ. priv.que, honorarius",http://www.eagle-network.eu/voc/typeins/lod/263,5
sacer magica,,5
sepulcralis carmen,,5
cetera magica?,,4
"cetera, carmen",http://www.eagle-network.eu/voc/typeins/lod/106,4
"ignoratur, carmen",http://www.eagle-network.eu/voc/typeins/lod/143,4
"ignoratur, sepulcralis?",,4
oper. publ. priv.que; sacer,,4
sacer aut honorarius?,,4
sepulcralis? sacer?,,4
"sepulcralis?, carmen",,4
"sepulcralis?, honorarius?",,4
cetera ###magica magica,,3
cetera magicus,,3
"fasti, leges, acta sacer",,3
honorarius sacer,,3
honorarius? sepulcralis?,,3
ignoratur sacer?,,3
oper. publ. priv.que sacer?,,3
oper. publ. priv.que vel honorarius,,3
oper. publ. priv.que; honorarius,,3
oper. publ. priv.que? honorarius?,,3
sacer aut honorarius,,3
sacer? honorarius?,,3
?,,2
cetera acclamazione,,2
cetera peso,,2
"cetera, immunitas",http://www.eagle-network.eu/voc/typeins/lod/106,2
"cetera, marchio di cava",,2
"cetera, possessio",http://www.eagle-network.eu/voc/typeins/lod/106,2
"cetera, probatio",http://www.eagle-network.eu/voc/typeins/lod/106,2
"cetera, vox magica",,2
"fasti, leges, acta sepulcralis",,2
honorarius###??,,2
"honorarius, sacer?",,2
"honorarius, sepulcralis",http://www.eagle-network.eu/voc/typeins/lod/232,2
"honorarius, sepulcralis?",,2
"honorarius?, carmen",,2
nonsense inscr.,,2
oper. publ. priv.que aut honorarius?,,2
oper. publ. priv.que datazione,,2
oper. publ. priv.que sepulcralis?,,2
oper. publ. priv.que###??,,2
"oper. publ. priv.que, ord. sen.",,2
"oper. publ. priv.que, sacer?",,2
"oper. publ. priv.que, sepulcralis",http://www.eagle-network.eu/voc/typeins/lod/263,2
oper. publ. priv.que? sacer?,,2
sacer cetera,,2
sacer honorarius,,2
sacer oper.publ.,,2
"sacer, sepulcralis",http://www.eagle-network.eu/voc/typeins/lod/79,2
"sacer?, carmen",,2
sepulcralis aut honorarius?,,2
"sepulcralis?, carmen?",,2
sepulcralis?; sacer?,,2
term. non sep. honorarius,,2
Ignoratur,http://www.eagle-network.eu/voc/typeins/lod/143,1
acta,,1
cetera ###magica   magica,,1
cetera ###magica  magica,,1
cetera ###magica magica magica magica,,1
cetera alfabetario,,1
cetera defixio,,1
cetera forma,,1
cetera lusus?,,1
cetera marchio di cava,,1
cetera missorium,,1
cetera nonsense inscr.,,1
cetera rosa dei venti,,1
cetera tabula lusoria,,1
cetera tessera hospit.,,1
cetera(servus)?,,1
"cetera, anemoscopio",http://www.eagle-network.eu/voc/typeins/lod/106,1
"cetera, defixio",http://www.eagle-network.eu/voc/typeins/lod/106,1
"cetera, epistola",http://www.eagle-network.eu/voc/typeins/lod/106,1
"cetera, esercitazione",http://www.eagle-network.eu/voc/typeins/lod/106,1
