term_key_0,term_text_0,term_ref_0,n
funerary,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,1709
,,,564
dedication,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,213
honorific,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,191
,(?),,182
funerary,funerary (?),http://www.eagle-network.eu/voc/typeins/lod/92.html,85
building,building,http://www.eagle-network.eu/voc/typeins/lod/86.html,64
honorific,honorific (?),http://www.eagle-network.eu/voc/typeins/lod/69.html,33
seat inscription,"seat
                        inscription",http://www.eagle-network.eu/voc/typeins/lod/111.html,22
dedication,dedication (?),http://www.eagle-network.eu/voc/typeins/lod/88.html,17
unknown,unknown,https://www.eagle-network.eu/voc/typeins/lod/143.html,16
accounts,accounts,http://www.eagle-network.eu/voc/typeins/lod/410.html,15
building,building (?),http://www.eagle-network.eu/voc/typeins/lod/86.html,13
terminus,terminus,http://www.eagle-network.eu/voc/typeins/lod/96.html,13
prayer,prayer,http://www.eagle-network.eu/voc/typeins/lod/85.html,10
list,list,http://www.eagle-network.eu/voc/typeins/lod/108.html,8
decree,decree,http://www.eagle-network.eu/voc/typeins/lod/384.html,7
ignoratur,Unknown,https://www.eagle-network.eu/voc/typeins/lod/143.html,7
dedication,"dedication; list of
                        magistrates",http://www.eagle-network.eu/voc/typeins/lod/88.html,6
funerary,funerary; honorific,http://www.eagle-network.eu/voc/typeins/lod/92.html,6
graffiti,graffiti,http://www.eagle-network.eu/voc/typeins/lod/370.html,6
building,"building; honorific
                        (?)",http://www.eagle-network.eu/voc/typeins/lod/86.html,5
honorific,honorific; building,http://www.eagle-network.eu/voc/typeins/lod/69.html,4
cadastral,cadastral,http://www.eagle-network.eu/voc/typeins/lod/48.html,3
decree,decree (?),http://www.eagle-network.eu/voc/typeins/lod/384.html,3
epigram,epigram,http://www.eagle-network.eu/voc/typeins/lod/368.html,3
greeting,greeting,http://www.eagle-network.eu/voc/typeins/lod/386.html,3
honorific,"honorific; building
                        (?)",http://www.eagle-network.eu/voc/typeins/lod/69.html,3
list of magistrates,"list of
                        magistrates",http://www.eagle-network.eu/voc/typeins/lod/32.html,3
list of magistrates,list of magistrates,http://www.eagle-network.eu/voc/typeins/lod/32.html,3
milestone,milestone,http://www.eagle-network.eu/voc/typeins/lod/102,3
votive,votive (?),http://www.eagle-network.eu/voc/typeins/lod/83.html,3
,uncertain,,2
building,building; honorific,http://www.eagle-network.eu/voc/typeins/lod/86.html,2
dedication,"dedication; building
                        (?)",http://www.eagle-network.eu/voc/typeins/lod/88.html,2
dedication,"dedication; funerary
                        (?)",http://www.eagle-network.eu/voc/typeins/lod/88.html,2
funerary,"funerary;
                        honorific",http://www.eagle-network.eu/voc/typeins/lod/92.html,2
honorific,Honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,2
honorific,"honorific;
                        building (?)",http://www.eagle-network.eu/voc/typeins/lod/69.html,2
honorific,"honorific; dedication
                        (?)",http://www.eagle-network.eu/voc/typeins/lod/69.html,2
honorific,honorific; funerary,http://www.eagle-network.eu/voc/typeins/lod/69.html,2
honorific,"honorific; funerary
                        (?)",http://www.eagle-network.eu/voc/typeins/lod/69.html,2
oracle,oracle,http://www.eagle-network.eu/voc/typeins/lod/429.html,2
signature,signature,http://www.eagle-network.eu/voc/typeins/lod/105.html,2
stamp,stamp,http://www.eagle-network.eu/voc/typeins/lod/118,2
terminus,terminus (?),http://www.eagle-network.eu/voc/typeins/lod/96.html,2
unknown,unknown,http://www.eagle-network.eu/voc/typeins/lod/143.html,2
votive,votive,http://www.eagle-network.eu/voc/typeins/lod/83.html,2
,Honorific,,1
advertisement,advertisement,http://www.eagle-network.eu/voc/typeins/lod/128.html,1
building,building; dedication,http://www.eagle-network.eu/voc/typeins/lod/86.html,1
building,"building; dedication
                        (?)",http://www.eagle-network.eu/voc/typeins/lod/86.html,1
building,building; honorific (?),http://www.eagle-network.eu/voc/typeins/lod/86.html,1
calendar,calendar,http://www.eagle-network.eu/voc/typeins/lod/3.html,1
calendar,calendar (?),http://www.eagle-network.eu/voc/typeins/lod/3.html,1
calendar,"calendar; list
                        of magistrates",http://www.eagle-network.eu/voc/typeins/lod/3.html,1
construction,"Construction text
                        (probatio)",https://www.eagle-network.eu/voc/typeins/lod/86.html,1
dedication,"dedication
                        (?)",http://www.eagle-network.eu/voc/typeins/lod/88.html,1
dedication,"dedication;
                        building",http://www.eagle-network.eu/voc/typeins/lod/88.html,1
dedication,"dedication;
                        funerary",http://www.eagle-network.eu/voc/typeins/lod/88.html,1
dedication,"dedication;
                        honorific",http://www.eagle-network.eu/voc/typeins/lod/88.html,1
dedication,"dedication;
                        honorific (?)",http://www.eagle-network.eu/voc/typeins/lod/88.html,1
funerary,"funerary; building
                        (?)",http://www.eagle-network.eu/voc/typeins/lod/92.html,1
funerary,funerary; dedication,http://www.eagle-network.eu/voc/typeins/lod/92.html,1
funerary,"funerary; honorific
                        (?)",http://www.eagle-network.eu/voc/typeins/lod/92.html,1
funerary,funerary; magical,http://www.eagle-network.eu/voc/typeins/lod/92.html,1
funerary,funerary; prayer,http://www.eagle-network.eu/voc/typeins/lod/92.html,1
funerary,funerary; votive (?),http://www.eagle-network.eu/voc/typeins/lod/92.html,1
honorary inscription,honorific; building?,https://www.eagle-network.eu/voc/typeins/lod/69.html,1
honorific,Honorific (?),http://www.eagle-network.eu/voc/typeins/lod/69.html,1
honorific,honorific(?),http://www.eagle-network.eu/voc/typeins/lod/69.html,1
honorific,"honorific;
                        dedication",http://www.eagle-network.eu/voc/typeins/lod/69.html,1
honorific,honorific; building (?),http://www.eagle-network.eu/voc/typeins/lod/69.html,1
honorific,honorific; decree,http://www.eagle-network.eu/voc/typeins/lod/69.html,1
honorific,"honorific; decree
                        (?)",http://www.eagle-network.eu/voc/typeins/lod/69.html,1
honorific,"honorific; signature
                        (?)",http://www.eagle-network.eu/voc/typeins/lod/69.html,1
ignoratur,uncertain,https://www.eagle-network.eu/voc/typeins/lod/143.html,1
instrumentum,instrumentum,http://www.eagle-network.eu/voc/typeins/lod/136.html,1
legal text,legal text,https://www.eagle-network.eu/voc/typeins/lod/4.html,1
letter,letter,http://www.eagle-network.eu/voc/typeins/lod/402.html,1
lex sacra,lex sacra,http://www.eagle-network.eu/voc/typeins/lod/10.html,1
list of magistrates,"list of
                        magistrates (?)",http://www.eagle-network.eu/voc/typeins/lod/32.html,1
list of priests,"list of
                        priests",http://www.eagle-network.eu/voc/typeins/lod/33.html,1
list of priests,"list of priests
                        (?)",http://www.eagle-network.eu/voc/typeins/lod/33.html,1
