title,filename,tm,phi,uri,doi,edcs,edr,epicum,0,term_cert_0,term_key_0,term_ref_0,term_text_0,0,term_key_1,term_ref_1,term_text_1
I.Sicily inscription 2976,isic2976,645330,175478,http://sicily.classics.ox.ac.uk/inscription/isic2976,10.5281/zenodo.4387845,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary (?),,,,
I.Sicily inscription 2802,isic2802,645199,334337,http://sicily.classics.ox.ac.uk/inscription/isic2802,10.5281/zenodo.4387413,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0987,isic0987,492614,140465,http://sicily.classics.ox.ac.uk/inscription/isic0987,10.5281/zenodo.4340272,39102141,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 1077,isic1077,492705,140559,http://sicily.classics.ox.ac.uk/inscription/isic1077,10.5281/zenodo.4385449,39102234,,,,,decree,http://www.eagle-network.eu/voc/typeins/lod/384.html,decree,,,,
I.Sicily inscription 0864,isic0864,492492,140342,http://sicily.classics.ox.ac.uk/inscription/isic0864,10.5281/zenodo.4339732,39102018,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0159,isic0159,285153,,http://sicily.classics.ox.ac.uk/inscription/isic0159,10.5281/zenodo.4334366,22100096,111309,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 4224,isic4224,,334786,http://sicily.classics.ox.ac.uk/inscription/isic4224,10.5281/zenodo.4390172,,,,,,,,,,,,
I.Sicily inscription 1655,isic1655,645092,,http://sicily.classics.ox.ac.uk/inscription/isic1655,10.5281/zenodo.4354743,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 3517,isic3517,284784,313634,http://sicily.classics.ox.ac.uk/inscription/isic3517,10.5281/zenodo.4358666,,100006,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 1135,isic1135,285051,140620,http://sicily.classics.ox.ac.uk/inscription/isic1135,10.5281/zenodo.4351601,64900787,135921,,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,
Funerary inscription for Calbentius Motho,isic0474,491699,,http://sicily.classics.ox.ac.uk/inscription/isic0474,10.5281/zenodo.4337551,21900534,142396,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 4190,isic4190,,334745,http://sicily.classics.ox.ac.uk/inscription/isic4190,10.5281/zenodo.4390037,,,,,,,,,,,,
I.Sicily inscription 4140,isic4140,,334682,http://sicily.classics.ox.ac.uk/inscription/isic4140,10.5281/zenodo.4389922,,,,,,,,,,,,
I.Sicily inscription 3626,isic3626,645699,,http://sicily.classics.ox.ac.uk/inscription/isic3626,10.5281/zenodo.4388857,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 3800,isic3800,,334201,http://sicily.classics.ox.ac.uk/inscription/isic3800,10.5281/zenodo.4381648,,,,,,,,,,,,
I.Sicily inscription 0155,isic0155,285243,,http://sicily.classics.ox.ac.uk/inscription/isic0155,10.5281/zenodo.4334354,8900406,111305,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0850,isic0850,492478,140327,http://sicily.classics.ox.ac.uk/inscription/isic0850,10.5281/zenodo.4339674,39102004,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 3809,isic3809,,334215,http://sicily.classics.ox.ac.uk/inscription/isic3809,10.5281/zenodo.4381670,,,,,,,,,,,,
I.Sicily inscription 3275,isic3275,285147,,http://sicily.classics.ox.ac.uk/inscription/isic3275,10.5281/zenodo.4358013,17900209,122836,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0285,isic0285,491495,,http://sicily.classics.ox.ac.uk/inscription/isic0285,10.5281/zenodo.4334863,22200385,139643,,,,building,http://www.eagle-network.eu/voc/typeins/lod/86.html,building,,,,
