title,idno,terms
I.Sicily inscription 2976,"{'filename': 'isic2976', 'tm': '645330', 'phi': '175478', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2976', 'doi': '10.5281/zenodo.4387845'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary (?)'}]"
I.Sicily inscription 2802,"{'filename': 'isic2802', 'tm': '645199', 'phi': '334337', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2802', 'doi': '10.5281/zenodo.4387413'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0987,"{'filename': 'isic0987', 'tm': '492614', 'edcs': '39102141', 'phi': '140465', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0987', 'doi': '10.5281/zenodo.4340272'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 1077,"{'filename': 'isic1077', 'tm': '492705', 'edcs': '39102234', 'phi': '140559', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1077', 'doi': '10.5281/zenodo.4385449'}","[{'key': 'decree', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/384.html', 'text': 'decree'}]"
I.Sicily inscription 0864,"{'filename': 'isic0864', 'tm': '492492', 'edcs': '39102018', 'phi': '140342', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0864', 'doi': '10.5281/zenodo.4339732'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0159,"{'filename': 'isic0159', 'tm': '285153', 'edr': '111309', 'edcs': '22100096', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0159', 'doi': '10.5281/zenodo.4334366'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 4224,"{'filename': 'isic4224', 'phi': '334786', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic4224', 'doi': '10.5281/zenodo.4390172'}",[]
I.Sicily inscription 1655,"{'filename': 'isic1655', 'tm': '645092', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1655', 'doi': '10.5281/zenodo.4354743'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3517,"{'filename': 'isic3517', 'tm': '284784', 'edr': '100006', 'phi': '313634', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3517', 'doi': '10.5281/zenodo.4358666'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 1135,"{'filename': 'isic1135', 'tm': '285051', 'edr': '135921', 'edcs': '64900787', 'phi': '140620', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1135', 'doi': '10.5281/zenodo.4351601'}","[{'key': 'honorific', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/69.html', 'text': 'honorific'}]"
Funerary inscription for Calbentius Motho,"{'filename': 'isic0474', 'tm': '491699', 'edr': '142396', 'edcs': '21900534', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0474', 'doi': '10.5281/zenodo.4337551'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 4190,"{'filename': 'isic4190', 'phi': '334745', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic4190', 'doi': '10.5281/zenodo.4390037'}",[]
I.Sicily inscription 4140,"{'filename': 'isic4140', 'phi': '334682', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic4140', 'doi': '10.5281/zenodo.4389922'}",[]
I.Sicily inscription 3626,"{'filename': 'isic3626', 'tm': '645699', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3626', 'doi': '10.5281/zenodo.4388857'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3800,"{'filename': 'isic3800', 'phi': '334201', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3800', 'doi': '10.5281/zenodo.4381648'}",[]
I.Sicily inscription 0155,"{'filename': 'isic0155', 'tm': '285243', 'edr': '111305', 'edcs': '8900406', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0155', 'doi': '10.5281/zenodo.4334354'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0850,"{'filename': 'isic0850', 'tm': '492478', 'edcs': '39102004', 'phi': '140327', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0850', 'doi': '10.5281/zenodo.4339674'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3809,"{'filename': 'isic3809', 'phi': '334215', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3809', 'doi': '10.5281/zenodo.4381670'}",[]
I.Sicily inscription 3275,"{'filename': 'isic3275', 'tm': '285147', 'edr': '122836', 'edcs': '17900209', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3275', 'doi': '10.5281/zenodo.4358013'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0285,"{'filename': 'isic0285', 'tm': '491495', 'edr': '139643', 'edcs': '22200385', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0285', 'doi': '10.5281/zenodo.4334863'}","[{'key': 'building', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/86.html', 'text': 'building'}]"
I.Sicily inscription 0262,"{'filename': 'isic0262', 'tm': '285210', 'edr': '127142', 'edcs': '10900684', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0262', 'doi': '10.5281/zenodo.4334797'}","[{'key': 'building', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/86.html', 'text': 'building'}]"
I.Sicily inscription 2857,"{'filename': 'isic2857', 'tm': '645251', 'phi': '334534', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2857', 'doi': '10.5281/zenodo.4387537'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 2891,"{'filename': 'isic2891', 'tm': '645284', 'phi': '334422', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2891', 'doi': '10.5281/zenodo.4387627'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 1222,"{'filename': 'isic1222', 'tm': '492828', 'edcs': '39101588', 'phi': '334597', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1222', 'doi': '10.5281/zenodo.4385621'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 2702,"{'filename': 'isic2702', 'tm': '645122', 'phi': '334230', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2702', 'doi': '10.5281/zenodo.4354951'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0533,"{'filename': 'isic0533', 'tm': '491756', 'edcs': '22000839', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0533', 'doi': '10.5281/zenodo.4384878'}","[{'key': 'dedication', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/88.html', 'text': 'dedication'}]"
I.Sicily inscription 2869,"{'filename': 'isic2869', 'tm': '645263', 'phi': '334557', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2869', 'doi': '10.5281/zenodo.4387563'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0638,"{'filename': 'isic0638', 'tm': '644880', 'phi': '332969', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0638', 'doi': '10.5281/zenodo.4338141'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3468,"{'filename': 'isic3468', 'tm': '285172', 'edr': '113430', 'edcs': '22100627', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3468', 'doi': '10.5281/zenodo.4388622'}","[{'key': 'honorific', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/69.html', 'text': 'honorific'}]"
I.Sicily inscription 0225,"{'filename': 'isic0225', 'tm': '285233', 'edr': '127460', 'edcs': '22100143', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0225', 'doi': '10.5281/zenodo.4334644'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3844,"{'filename': 'isic3844', 'phi': '334268', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3844', 'doi': '10.5281/zenodo.4381752'}",[]
I.Sicily inscription 3482,"{'filename': 'isic3482', 'tm': '645103', 'phi': '336186', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3482', 'doi': '10.5281/zenodo.4388648'}",[]
I.Sicily inscription 0196,"{'filename': 'isic0196', 'tm': '285220', 'edr': '127381', 'edcs': '22100123', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0196', 'doi': '10.5281/zenodo.4334512'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary (?)'}]"
I.Sicily inscription 1066,"{'filename': 'isic1066', 'tm': '492693', 'edcs': '39102221', 'phi': '331914', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1066', 'doi': '10.5281/zenodo.4385429'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3254,"{'filename': 'isic3254', 'tm': '285131', 'edcs': '13801799', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3254', 'doi': '10.5281/zenodo.4357933'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3803,"{'filename': 'isic3803', 'phi': '334206', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3803', 'doi': '10.5281/zenodo.4381656'}",[]
I.Sicily inscription 0441,"{'filename': 'isic0441', 'tm': '491669', 'edcs': '21900503', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0441', 'doi': '10.5281/zenodo.4335688'}","[{'key': 'ignoratur', 'ref': 'https://www.eagle-network.eu/voc/typeins/lod/143.html', 'text': 'Unknown'}]"
I.Sicily inscription 2968,"{'filename': 'isic2968', 'tm': '645324', 'phi': '175464', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2968', 'doi': '10.5281/zenodo.4387813'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 1277,"{'filename': 'isic1277', 'tm': '491445', 'edcs': '39101646', 'phi': '330069', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1277', 'doi': '10.5281/zenodo.4352279'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3793,"{'filename': 'isic3793', 'phi': '334192', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3793', 'doi': '10.5281/zenodo.4381620'}",[]
I.Sicily inscription 1005,"{'filename': 'isic1005', 'tm': '492632', 'edcs': '39102159', 'phi': '140483', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1005', 'doi': '10.5281/zenodo.4351376'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3608,"{'filename': 'isic3608', 'tm': '645681', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3608', 'doi': '10.5281/zenodo.4388817'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3109,"{'filename': 'isic3109', 'tm': '645454', 'phi': '336511', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3109', 'doi': '10.5281/zenodo.4357152'}","[{'key': 'dedication', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/88.html', 'text': 'dedication'}]"
Sarcophagus of Adelphia,"{'filename': 'isic0404', 'tm': '491615', 'edcs': '21900445', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0404', 'doi': '10.5281/zenodo.4335552'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0227,"{'filename': 'isic0227', 'tm': '285305', 'edr': '127531', 'edcs': '10900662', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0227', 'doi': '10.5281/zenodo.4334650'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 1381,"{'filename': 'isic1381', 'tm': '492995', 'edcs': '39101762', 'phi': '140887', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1381', 'doi': '10.5281/zenodo.4385860'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
